_id,accessibility,air_conditioning,building,capacity,classroom_name,created_by,floor,projector,updated_at
63629088e2d45a83eecada34,false,false,Elétrica,60,B2-01,,1,false,10/03/2018 19:27
63629088e2d45a83eecada35,true,true,Elétrica,58,B2-03,,1,false,10/03/2018 19:40
63629088e2d45a83eecada36,true,true,Mecânica,90,A02,,0,false,23/02/2018 21:17
63629088e2d45a83eecada37,true,true,Mecânica,90,A07,,0,false,23/02/2018 21:18
63629088e2d45a83eecada3b,true,true,Civil,100,S-05,,0,false,23/02/2018 21:36
63629088e2d45a83eecada3c,true,true,Mecânica,100,A09,,0,false,23/02/2018 21:41
63629088e2d45a83eecada3d,true,true,120,1,WEB0,,0,true,07/11/2022 18:35
63629088e2d45a83eecada3f,true,true,Produção,100,D1 009,,0,false,24/02/2018 00:02
63629088e2d45a83eecada40,true,true,Produção,100,D2 013,,0,false,24/02/2018 00:03
63629088e2d45a83eecada42,true,true,Civil,60,S-17,,1,false,06/03/2018 21:55
63629088e2d45a83eecada43,true,true,Civil,60,S-23,,1,false,01/08/2018 23:24
63629088e2d45a83eecada44,true,true,Elétrica,56,B2-04,,1,false,10/03/2018 19:40
63629088e2d45a83eecada45,true,true,Elétrica,66,B2-05,,1,false,10/03/2018 19:40
63629088e2d45a83eecada46,true,true,Elétrica,55,B2-06,,1,false,10/03/2018 19:41
63629088e2d45a83eecada47,true,true,Elétrica,60,B2-08,,1,false,10/03/2018 19:32
63629088e2d45a83eecada48,true,true,Elétrica,60,B2-09,,1,false,10/03/2018 19:32
63629088e2d45a83eecada49,true,true,Elétrica,55,B2-10,,1,false,10/03/2018 19:41
63629088e2d45a83eecada4a,true,true,Elétrica,50,A1-10,,0,false,10/03/2018 19:42
63629088e2d45a83eecada4b,true,true,Elétrica,120,C1-30,,0,false,10/03/2018 19:34
63629088e2d45a83eecada4c,true,true,Elétrica,60,C1-38,,0,false,10/03/2018 19:34
63629088e2d45a83eecada4d,true,true,Elétrica,100,D1-01,,0,false,10/03/2018 19:42
63629088e2d45a83eecada4e,true,true,Elétrica,100,D1-02,,0,false,10/03/2018 19:43
63629088e2d45a83eecada4f,true,true,Elétrica,100,D1-03,,0,false,10/03/2018 19:43
63629088e2d45a83eecada50,true,true,Elétrica,100,D1-04,,0,false,10/03/2018 19:37
63629088e2d45a83eecada51,true,true,Elétrica,55,GD-03,,0,false,10/03/2018 19:43
63629088e2d45a83eecada52,true,true,Elétrica,120,GD-04,,0,false,10/03/2018 19:38
63629088e2d45a83eecada53,true,true,Elétrica,55,GD-05,,0,false,10/03/2018 19:38
63629088e2d45a83eecada54,true,true,Elétrica,55,GD-06,,0,false,10/03/2018 19:38
63629088e2d45a83eecada55,true,true,Elétrica,55,GD-07,,0,false,10/03/2018 19:39
63629088e2d45a83eecada56,true,true,Elétrica,56,B2-12,,0,false,10/03/2018 19:42
63629088e2d45a83eecada57,true,true,Produção,73,D1 008,,0,false,12/03/2018 21:46
63629088e2d45a83eecada58,true,true,Produção,76,D1 009,,0,false,12/03/2018 21:46
63629088e2d45a83eecada59,true,true,Produção,100,D1 010A,,0,false,12/03/2018 21:46
63629088e2d45a83eecada5a,true,true,Produção,70,D2 013,,1,false,12/03/2018 21:48
63629088e2d45a83eecada5b,true,true,Produção,70,D2 014,,1,false,12/03/2018 21:48
63629088e2d45a83eecada5c,true,true,Produção,100,D2 015,,1,false,12/03/2018 21:49
63629088e2d45a83eecada5d,true,true,Produção,40,D2 114,,1,false,12/03/2018 21:49
63629088e2d45a83eecada5e,true,true,Produção,40,D2 116,,1,false,12/03/2018 21:49
63629088e2d45a83eecada5f,true,true,Produção,50,OCEAN,,0,false,12/03/2018 21:50
63629088e2d45a83eecada60,true,true,Produção,70,D1 007,,0,false,12/03/2018 21:52
63629088e2d45a83eecada61,true,true,Produção,100,D2 116 e D1 007,,0,false,13/03/2018 20:53
63629088e2d45a83eecada62,true,true,Prod/Bie,100,D2 014 e C2-06,,0,false,13/03/2018 21:29
63629088e2d45a83eecada63,true,true,Elétrica,50,LabSoft,,0,false,13/03/2018 22:52
